timp;v_in;m;omega;ia
0,099500244;24;0;600,0080359;-0,01592547
0,099722178;24;0;600,0138568;-0,027461448
0,099901933;24;0;600,006807;-0,01349011
0,1;24;0;600,0014411;-0,002855933
0,04861426;24;0;599,9999804;9,45544E-07
0,048717728;24;0;599,9999812;9,07608E-07
0,048816997;24;0;599,9999819;8,72642E-07
0,048916265;24;0;599,9999826;8,39024E-07
0,049;24;0;599,9999832;8,11675E-07
0,049094152;24;0;599,9999838;7,81988E-07
0,049198103;24;0;599,9999844;7,5047E-07
0,049308496;24;0;599,9999851;7,18389E-07
0,049425028;24;0;599,9999858;6,8601E-07
0,049508465;24;0;599,9999862;6,63727E-07
0,049591902;24;0;599,9999867;6,42168E-07
0,049692139;24;0;599,9999872;6,17192E-07
0,049811898;24;0;599,9999878;5,88622E-07
0,049920652;24;0;599,9999883;5,63825E-07
0,05;24;0;599,9999887;5,46395E-07
0,05;24;0;599,9999887;5,46395E-07
0,05;24;0;599,9999887;5,46395E-07
0,050025934;24;0;599,9999888;5,40815E-07
0,050051868;24;0;599,9999889;5,35293E-07
0,050088643;24;0;599,9999891;5,27559E-07
0,050118938;24;0;599,9999892;5,21271E-07
0,050150807;24;0;599,9999893;5,14738E-07
0,050190012;24;0;599,9999895;5,06813E-07
0,050226993;24;0;599,9999896;4,9945E-07
0,050263908;24;0;599,9999898;4,92206E-07
0,050309965;24;0;599,99999;4,83316E-07
0,050352811;24;0;599,9999901;4,75189E-07
0,050399;24;0;599,9999903;4,66582E-07
0,050455329;24;0;599,9999905;4,56296E-07
0,050506178;24;0;599,9999907;4,47205E-07
0,050575754;24;0;599,999991;4,35059E-07
0,050635884;24;0;599,9999912;4,24828E-07
0,050708948;24;0;599,9999914;4,1272E-07
0,050785292;24;0;599,9999917;4,00436E-07
0,050870937;24;0;599,999992;3,87091E-07
0,050970772;24;0;599,9999923;3,72095E-07
0,051;24;0;599,9999924;3,67816E-07
0,051119889;24;0;599,9999927;3,50772E-07
0,051232905;24;0;599,999993;3,35428E-07
0,051333286;24;0;599,9999933;3,22364E-07
0,051422162;24;0;599,9999935;3,11223E-07
0,051507577;24;0;599,9999938;3,00878E-07
0,051602628;24;0;599,999994;2,8977E-07
0,051708955;24;0;599,9999942;2,77829E-07
0,051819321;24;0;599,9999945;2,65955E-07
0,051930373;24;0;599,9999947;2,5452E-07
0,052;24;0;599,9999949;2,47602E-07
0,052092432;24;0;599,999995;2,38709E-07
0,05223014;24;0;599,9999953;2,26047E-07
0,052304054;24;0;599,9999954;2,19531E-07
0,052377968;24;0;599,9999956;2,13202E-07
0,052475685;24;0;599,9999957;2,05114E-07
0,052600216;24;0;599,9999959;1,9525E-07
0,05267998;24;0;599,9999961;1,89183E-07
0,052759744;24;0;599,9999962;1,83304E-07
0,052859594;24;0;599,9999963;1,76202E-07
0,053;24;0;599,9999965;1,66678E-07
0,053070662;24;0;599,9999966;1,62082E-07
0,053141325;24;0;599,9999967;1,57612E-07
0,053228611;24;0;599,9999968;1,5226E-07
0,053338873;24;0;599,999997;1,45759E-07
0,053449134;24;0;599,9999971;1,39535E-07
0,053552745;24;0;599,9999972;1,33929E-07
0,053639146;24;0;599,9999973;1,29427E-07
0,05373068;24;0;599,9999974;1,24822E-07
0,053830902;24;0;599,9999975;1,19968E-07
0,053941137;24;0;599,9999976;1,14847E-07
0,054;24;0;599,9999977;1,12203E-07
0,054105578;24;0;599,9999978;1,07611E-07
0,054216644;24;0;599,9999979;1,02983E-07
0,054319356;24;0;599,9999979;9,88811E-08
0,054422069;24;0;599,999998;9,49422E-08
0,054512381;24;0;599,9999981;9,16087E-08
0,054604575;24;0;599,9999982;8,83265E-08
0,054707184;24;0;599,9999982;8,48115E-08
0,054819643;24;0;599,9999983;8,11196E-08
0,054924592;24;0;599,9999984;7,78194E-08
0,055;24;0;599,9999984;7,55313E-08
0,055092416;24;0;599,9999985;7,28187E-08
0,055203683;24;0;599,9999986;6,96817E-08
0,055318732;24;0;599,9999986;6,65801E-08
0,055416543;24;0;599,9999987;6,40521E-08
0,055517571;24;0;599,9999987;6,15416E-08
0,055641453;24;0;599,9999988;5,85971E-08
0,055711047;24;0;599,9999988;5,70053E-08
0,05578064;24;0;599,9999988;5,54566E-08
0,055870632;24;0;599,9999989;5,35163E-08
0,055988208;24;0;599,9999989;5,10831E-08
0,056;24;0;599,9999989;5,08453E-08
0,05605896;24;0;599,999999;4,96726E-08
0,056151719;24;0;599,999999;4,78822E-08
0,056275714;24;0;599,9999991;4,55892E-08
0,056364604;24;0;599,9999991;4,40133E-08
0,056453494;24;0;599,9999991;4,24919E-08
0,056550643;24;0;599,9999992;4,08892E-08
0,056657179;24;0;599,9999992;3,92011E-08
0,056763058;24;0;599,9999992;3,75924E-08
0,056866143;24;0;599,9999993;3,60896E-08
0,057;24;0;599,9999993;3,42275E-08
0,057066583;24;0;599,9999993;3,33373E-08
0,057133166;24;0;599,9999993;3,24703E-08
0,057223918;24;0;599,9999994;3,13248E-08
0,057320003;24;0;599,9999994;3,0156E-08
0,05742791;24;0;599,9999994;2,88953E-08
0,057557338;24;0;599,9999994;2,74525E-08
0,057626933;24;0;599,9999994;2,67067E-08
0,057696528;24;0;599,9999995;2,59812E-08
0,057784769;24;0;599,9999995;2,50895E-08
0,057904837;24;0;599,9999995;2,39252E-08
0,058;24;0;599,9999995;2,30409E-08
0,058093596;24;0;599,9999995;2,2203E-08
0,0581857;24;0;599,9999996;2,14083E-08
0,058281955;24;0;599,9999996;2,06081E-08
0,058385139;24;0;599,9999996;1,97835E-08
0,058493238;24;0;599,9999996;1,8955E-08
0,0586085;24;0;599,9999996;1,81098E-08
0,058694816;24;0;599,9999996;1,75016E-08
0,058781131;24;0;599,9999996;1,69138E-08
0,058881167;24;0;599,9999997;1,62573E-08
0,059;24;0;599,9999997;1,55104E-08
0,059106702;24;0;599,9999997;1,48691E-08
0,059202439;24;0;599,9999997;1,43162E-08
0,059316592;24;0;599,9999997;1,36839E-08
0,059396442;24;0;599,9999997;1,32582E-08
0,059476291;24;0;599,9999997;1,28458E-08
0,059574077;24;0;599,9999997;1,23581E-08
0,059705347;24;0;599,9999998;1,17325E-08
0,059783347;24;0;599,9999998;1,13759E-08
0,059861347;24;0;599,9999998;1,10301E-08
0,059955632;24;0;599,9999998;1,06261E-08
0,06;24;0;599,9999998;1,04411E-08
0,060119359;24;0;599,9999998;9,95938E-09
0,060241046;24;0;599,9999998;9,49112E-09
0,060323617;24;0;599,9999998;9,18597E-09
0,060406188;24;0;599,9999998;8,89065E-09
0,06050587;24;0;599,9999998;8,54674E-09
0,060630087;24;0;599,9999998;8,13674E-09
0,060714643;24;0;599,9999998;7,86896E-09
0,060799199;24;0;599,9999998;7,60999E-09
0,060898434;24;0;599,9999998;7,31692E-09
0,061;24;0;599,9999999;7,02865E-09
0,061113965;24;0;599,9999999;6,71868E-09
0,061238184;24;0;599,9999999;6,39637E-09
0,061313776;24;0;599,9999999;6,20785E-09
0,061389367;24;0;599,9999999;6,02488E-09
0,061484716;24;0;599,9999999;5,80177E-09
0,06165524;24;0;599,9999999;5,42314E-09
0,061706901;24;0;599,9999999;5,31339E-09
0,061758562;24;0;599,9999999;5,20587E-09
0,06184147;24;0;599,9999999;5,03783E-09
0,061910882;24;0;599,9999999;4,90132E-09
0,061991346;24;0;599,9999999;4,7477E-09
0,062;24;0;599,9999999;4,73147E-09
0,062043272;24;0;599,9999999;4,65113E-09
0,062165594;24;0;599,9999999;4,43133E-09
0,062272633;24;0;599,9999999;4,24754E-09
0,062364365;24;0;599,9999999;4,0961E-09
0,062469713;24;0;599,9999999;3,92884E-09
0,062575061;24;0;599,9999999;3,76841E-09
0,062667442;24;0;599,9999999;3,63312E-09
0,062751376;24;0;599,9999999;3,51442E-09
0,062844243;24;0;599,9999999;3,3876E-09
0,062947193;24;0;599,9999999;3,25235E-09
0,063;24;0;599,9999999;3,18509E-09
0,06315081;24;0;599,9999999;3,00055E-09
0,063222539;24;0;599,9999999;2,91657E-09
0,063294269;24;0;599,9999999;2,83494E-09
0,063382121;24;0;599,9999999;2,73807E-09
0,063504036;24;0;599,9999999;2,60909E-09
0,063589076;24;0;599,9999999;2,52274E-09
0,063674115;24;0;599,9999999;2,43925E-09
0,063775974;24;0;600;2,34287E-09
0,06389275;24;0;600;2,23706E-09
0,064;24;0;600;2,1441E-09
0,064098785;24;0;600;2,0619E-09
0,064237958;24;0;600;1,9514E-09
0,064297845;24;0;600;1,90569E-09
0,064357731;24;0;600;1,86106E-09
0,064441476;24;0;600;1,80039E-09
0,064523079;24;0;600;1,74318E-09
0,064614007;24;0;600;1,68157E-09
0,064715103;24;0;600;1,61562E-09
0,064824121;24;0;600;1,54739E-09
0,064935507;24;0;600;1,48066E-09
0,065;24;0;600;1,44335E-09
0,065099277;24;0;600;1,38774E-09
0,065217678;24;0;600;1,32421E-09
0,065309278;24;0;600;1,27707E-09
0,065400877;24;0;600;1,2316E-09
0,065498488;24;0;600;1,18493E-09
0,065602899;24;0;600;1,13697E-09
0,065709907;24;0;600;1,08982E-09
0,06582205;24;0;600;1,04251E-09
0,065914866;24;0;600;1,00491E-09
0,066;24;0;600;9,71619E-10
0,066097029;24;0;600;9,35012E-10
0,066207021;24;0;600;8,95188E-10
0,066316686;24;0;600;8,57172E-10
0,066421311;24;0;600;8,22402E-10
0,066528271;24;0;600;7,88311E-10
0,066612892;24;0;600;7,62351E-10
0,066697513;24;0;600;7,3724E-10
0,066796205;24;0;600;7,09002E-10
0,06690859;24;0;600;6,78157E-10
0,067;24;0;600;6,54061E-10
0,06710909;24;0;600;6,26425E-10
0,067226793;24;0;600;5,97915E-10
0,067311661;24;0;600;5,78167E-10
0,06739653;24;0;600;5,59069E-10
0,067497048;24;0;600;5,37264E-10
0,067613599;24;0;600;5,13041E-10
0,067721347;24;0;600;4,91629E-10
0,067816919;24;0;600;4,73382E-10
0,067947389;24;0;600;4,49557E-10
0,068;24;0;600;4,40293E-10
0,068073165;24;0;600;4,27728E-10
0,068157584;24;0;600;4,13673E-10
0,068242003;24;0;600;4,00082E-10
0,068342691;24;0;600;3,84455E-10
0,068452691;24;0;600;3,68075E-10
0,068565292;24;0;600;3,52032E-10
0,068666531;24;0;600;3,38206E-10
0,068767771;24;0;600;3,24923E-10
0,068858454;24;0;600;3,1347E-10
0,0689509;24;0;600;3,02209E-10
0,069;24;0;600;2,96392E-10
0,069137751;24;0;600;2,80665E-10
0,069215301;24;0;600;2,72185E-10
0,069292852;24;0;600;2,63957E-10
0,069389655;24;0;600;2,54035E-10
0,069512915;24;0;600;2,41942E-10
0,069600125;24;0;600;2,33737E-10
0,069687334;24;0;600;2,25804E-10
0,069789957;24;0;600;2,16821E-10
0,06990135;24;0;600;2,07467E-10
0,07;24;0;600;1,99525E-10
0,070148763;24;0;600;1,88114E-10
0,070211441;24;0;600;1,83507E-10
0,070274119;24;0;600;1,79009E-10
0,070355494;24;0;600;1,73335E-10
0,070447444;24;0;600;1,67144E-10
0,070542709;24;0;600;1,60964E-10
0,070648475;24;0;600;1,54364E-10
0,070766243;24;0;600;1,47334E-10
0,070851876;24;0;600;1,42422E-10
0,07093751;24;0;600;1,37676E-10
0,071;24;0;600;1,34312E-10
0,071115525;24;0;600;1,28311E-10
0,071252236;24;0;600;1,21552E-10
0,071323501;24;0;600;1,1817E-10
0,071394765;24;0;600;1,14884E-10
0,071487092;24;0;600;1,10762E-10
0,071620039;24;0;600;1,05084E-10
0,07169832;24;0;600;1,01881E-10
0,071776602;24;0;600;9,8771E-11
0,071876071;24;0;600;9,49561E-11
0,072;24;0;600;9,04121E-11
0,072078394;24;0;600;8,76535E-11
0,072156788;24;0;600;8,49767E-11
0,07225413;24;0;600;8,17592E-11
0,072384377;24;0;600;7,76522E-11
0,072464176;24;0;600;7,52368E-11
0,072543975;24;0;600;7,28952E-11
0,072640075;24;0;600;7,01745E-11
0,072752755;24;0;600;6,71169E-11
0,072864493;24;0;600;6,42113E-11
0,072964843;24;0;600;6,17068E-11
0,073;24;0;600;6,0854E-11
0,073101484;24;0;600;5,84565E-11
0,073197344;24;0;600;5,62838E-11
0,073295826;24;0;600;5,41346E-11
0,073405672;24;0;600;5,18268E-11
0,073536658;24;0;600;4,92139E-11
0,073605988;24;0;600;4,78783E-11
0,073675319;24;0;600;4,65803E-11
0,073762894;24;0;600;4,49952E-11
0,07388411;24;0;600;4,28878E-11
0,074;24;0;600;4,09641E-11
0,074071633;24;0;600;3,98171E-11
0,074143266;24;0;600;3,8702E-11
0,074232568;24;0;600;3,736E-11
0,074363016;24;0;600;3,54822E-11
0,07444496;24;0;600;3,43481E-11
0,074526903;24;0;600;3,32487E-11
0,074626309;24;0;600;3,1965E-11
0,074742886;24;0;600;3,05307E-11
0,074827293;24;0;600;2,95244E-11
0,074911699;24;0;600;2,85554E-11
0,075;24;0;600;2,7574E-11
0,075113324;24;0;600;2,63674E-11
0,075236695;24;0;600;2,51092E-11
0,075343018;24;0;600;2,40708E-11
0,07543863;24;0;600;2,31771E-11
0,075534241;24;0;600;2,23177E-11
0,075624885;24;0;600;2,15319E-11
0,075718052;24;0;600;2,07522E-11
0,075819658;24;0;600;1,99364E-11
0,075928232;24;0;600;1,90989E-11
0,076;24;0;600;1,85638E-11
0,076134085;24;0;600;1,75974E-11
0,076245603;24;0;600;1,68458E-11
0,076321836;24;0;600;1,63404E-11
0,076398069;24;0;600;1,58549E-11
0,07649746;24;0;600;1,52358E-11
0,076623616;24;0;600;1,44945E-11
0,076698718;24;0;600;1,40753E-11
0,076773819;24;0;600;1,36666E-11
0,07687248;24;0;600;1,31388E-11
0,077;24;0;600;1,24975E-11
0,077076935;24;0;600;1,21231E-11
0,077153869;24;0;600;1,17621E-11
0,077252292;24;0;600;1,13097E-11
0,077416101;24;0;600;1,05976E-11
0,077473243;24;0;600;1,03626E-11
0,077530386;24;0;600;1,01343E-11
0,07760856;24;0;600;9,82486E-12
0,077686595;24;0;600;9,52723E-12
0,077772781;24;0;600;9,20683E-12
0,077873812;24;0;600;8,84887E-12
0,078;24;0;600;8,41947E-12
0,078105366;24;0;600;8,07475E-12
0,078193819;24;0;600;7,79158E-12
0,078267726;24;0;600;7,56751E-12
0,078341634;24;0;600;7,34976E-12
0,07846063;24;0;600;7,0048E-12
0,078574322;24;0;600;6,69902E-12
0,078677345;24;0;600;6,43353E-12
0,078767013;24;0;600;6,20939E-12
0,078856681;24;0;600;5,99119E-12
0,078953929;24;0;600;5,76684E-12
0,079;24;0;600;5,66528E-12
0,079116243;24;0;600;5,41173E-12
0,07925446;24;0;600;5,12643E-12
0,079322087;24;0;600;4,98838E-12
0,079389715;24;0;600;4,85425E-12
0,079475194;24;0;600;4,69139E-12
0,079589959;24;0;600;4,48496E-12
0,079697347;24;0;600;4,30099E-12
0,079780281;24;0;600;4,16349E-12
0,079863215;24;0;600;4,02832E-12
0,079961924;24;0;600;3,86939E-12
0,08;24;0;600;3,81275E-12
0,080116138;24;0;600;3,63817E-12
0,080231037;24;0;600;3,47638E-12
0,080324359;24;0;600;3,35575E-12
0,080417681;24;0;600;3,23005E-12
0,080512663;24;0;600;3,11326E-12
0,080612697;24;0;600;2,99146E-12
0,080717905;24;0;600;2,86812E-12
0,080828544;24;0;600;2,7447E-12
0,080934621;24;0;600;2,63184E-12
0,081;24;0;600;2,56579E-12
0,081092302;24;0;600;2,47246E-12
0,081219091;24;0;600;2,34727E-12
0,08129953;24;0;600;2,27803E-12
0,081379969;24;0;600;2,21304E-12
0,081478843;24;0;600;2,12947E-12
0,081599474;24;0;600;2,02426E-12
0,081711137;24;0;600;1,94256E-12
0,081802461;24;0;600;1,87521E-12
0,081919218;24;0;600;1,79007E-12
0,082;24;0;600;1,73393E-12
0,082081428;24;0;600;1,67993E-12
0,082182286;24;0;600;1,61253E-12
0,082305885;24;0;600;1,54335E-12
0,082383338;24;0;600;1,49164E-12
0,082460791;24;0;600;1,4481E-12
0,082556247;24;0;600;1,39406E-12
0,08267894;24;0;600;1,32943E-12
0,082765763;24;0;600;1,28362E-12
0,082852587;24;0;600;1,24179E-12
0,082954808;24;0;600;1,1926E-12
0,083;24;0;600;1,17071E-12
0,083147298;24;0;600;1,10614E-12
0,083219622;24;0;600;1,07165E-12
0,083291947;24;0;600;1,04437E-12
0,083386778;24;0;600;9,99881E-13
0,083552856;24;0;600;9,43824E-13
0,083610196;24;0;600;9,16509E-13
0,083667535;24;0;600;8,94536E-13
0,08375687;24;0;600;8,60616E-13
0,083829497;24;0;600;8,34438E-13
0,083912614;24;0;600;8,06752E-13
0,084;24;0;600;7,79705E-13
0,084112576;24;0;600;7,4546E-13
0,084211419;24;0;600;7,21374E-13
0,084310262;24;0;600;6,93396E-13
0,084416402;24;0;600;6,69368E-13
0,084531614;24;0;600;6,3941E-13
0,084624478;24;0;600;6,16987E-13
0,084717342;24;0;600;5,964E-13
0,084814045;24;0;600;5,7605E-13
0,084916802;24;0;600;5,54427E-13
0,085;24;0;600;5,33766E-13
0,085126339;24;0;600;5,06153E-13
0,085244648;24;0;600;4,8293E-13
0,085324924;24;0;600;4,69569E-13
0,085405199;24;0;600;4,54322E-13
0,085504247;24;0;600;4,34625E-13
0,085650204;24;0;600;4,09771E-13
0,08571629;24;0;600;4,0003E-13
0,085782376;24;0;600;3,90738E-13
0,085866146;24;0;600;3,78805E-13
0,085975665;24;0;600;3,64199E-13
0,086;24;0;600;3,60901E-13
0,086104435;24;0;600;3,46543E-13
0,086203939;24;0;600;3,30186E-13
0,086294429;24;0;600;3,2046E-13
0,086390429;24;0;600;3,08733E-13
0,086496485;24;0;600;2,96753E-13
0,086614376;24;0;600;2,83883E-13
0,086699985;24;0;600;2,79956E-13
0,086785593;24;0;600;2,70316E-13
0,086886038;24;0;600;2,54493E-13
0,087;24;0;600;2,42785E-13
0,087107614;24;0;600;2,32108E-13
0,087206424;24;0;600;2,2485E-13
0,087343073;24;0;600;2,11981E-13
0,087406256;24;0;600;2,07042E-13
0,087469439;24;0;600;2,02378E-13
0,087557472;24;0;600;1,9687E-13
0,087643981;24;0;600;1,91144E-13
0,087741033;24;0;600;1,8399E-13
0,087846156;24;0;600;1,77237E-13
0,087962084;24;0;600;1,71234E-13
0,088;24;0;600;1,71234E-13
0,088094518;24;0;600;1,6795E-13
0,088191844;24;0;600;1,60423E-13
0,088301237;24;0;600;1,54753E-13
0,08843019;24;0;600;1,5171E-13
0,088500995;24;0;600;1,47589E-13
0,0885718;24;0;600;1,42902E-13
0,088661354;24;0;600;1,37299E-13
0,088793368;24;0;600;1,27089E-13
0,088874257;24;0;600;1,25826E-13
0,088955147;24;0;600;1,18954E-13
0,089;24;0;600;1,17543E-13
0,089120456;24;0;600;1,12718E-13
0,089225023;24;0;600;1,08288E-13
0,089317049;24;0;600;1,03633E-13
0,089458357;24;0;600;9,98164E-14
0,089521649;24;0;600;9,53741E-14
0,089584942;24;0;600;9,53741E-14
0,089663848;24;0;600;9,47726E-14
0,089742754;24;0;600;9,10878E-14
0,089834754;24;0;600;8,64179E-14
0,089943084;24;0;600;7,67169E-14
0,09;24;0;600;7,49267E-14
0,090114331;24;0;600;7,6603E-14
0,090211775;24;0;600;6,89626E-14
0,09030922;24;0;600;6,29017E-14
0,090413404;24;0;600;6,29017E-14
0,090524263;24;0;600;6,12117E-14
0,090652133;24;0;600;5,57791E-14
0,090723419;24;0;600;5,35369E-14
0,090794705;24;0;600;5,35369E-14
0,090884458;24;0;600;5,35369E-14
0,091;24;0;600;5,35369E-14
0,091097815;24;0;600;5,35369E-14
0,09119563;24;0;600;5,35369E-14
0,091288923;24;0;600;5,35369E-14
0,091385272;24;0;600;5,35369E-14
0,091490268;24;0;600;5,35369E-14
0,091604837;24;0;600;5,35369E-14
0,09170164;24;0;600;5,35369E-14
0,091798443;24;0;600;5,35369E-14
0,091893205;24;0;600;5,35369E-14
0,092;24;0;600;5,35369E-14
0,092104877;24;0;600;5,35369E-14
0,092224178;24;0;600;5,35369E-14
0,092301946;24;0;600;5,35369E-14
0,092379713;24;0;600;5,35369E-14
0,092477039;24;0;600;5,35369E-14
0,092623799;24;0;600;5,457E-14
0,092690383;24;0;600;4,83098E-14
0,092756968;24;0;600;4,67664E-14
0,092843043;24;0;600;4,67664E-14
0,092951423;24;0;600;4,67664E-14
0,093;24;0;600;4,67664E-14
0,093108644;24;0;600;4,67664E-14
0,093207101;24;0;600;4,67664E-14
0,093307593;24;0;600;4,67664E-14
0,093433803;24;0;600;4,67664E-14
0,093506662;24;0;600;4,67664E-14
0,09357952;24;0;600;4,67664E-14
0,093675063;24;0;600;4,67664E-14
0,093800851;24;0;600;4,67664E-14
0,093881999;24;0;600;4,67664E-14
0,093963146;24;0;600;4,67664E-14
0,094;24;0;600;4,67664E-14
0,094118329;24;0;600;4,67664E-14
0,094227104;24;0;600;4,67664E-14
0,094323319;24;0;600;4,67664E-14
0,09448507;24;0;600;4,55335E-14
0,094534585;24;0;600;4,3976E-14
0,0945841;24;0;600;4,19789E-14
0,094646871;24;0;600;4,19789E-14
0,094709641;24;0;600;4,19789E-14
0,094798832;24;0;600;4,19789E-14
0,094877985;24;0;600;4,19789E-14
0,094968578;24;0;600;4,19789E-14
0,095;24;0;600;4,19789E-14
0,095123069;24;0;600;4,19789E-14
0,095241819;24;0;600;4,19789E-14
0,095316501;24;0;600;4,19789E-14
0,095391183;24;0;600;4,19789E-14
0,095485306;24;0;600;4,19789E-14
0,095606356;24;0;600;4,19789E-14
0,095692379;24;0;600;4,19789E-14
0,095778401;24;0;600;4,19789E-14
0,095878212;24;0;600;4,19789E-14
0,096;24;0;600;4,19789E-14
0,096107085;24;0;600;4,19789E-14
0,096202857;24;0;600;4,19789E-14
0,096341089;24;0;600;4,19789E-14
0,096401791;24;0;600;4,19789E-14
0,096462493;24;0;600;4,19789E-14
0,096545852;24;0;600;4,19789E-14
0,096627167;24;0;600;4,19789E-14
0,096717584;24;0;600;4,19789E-14
0,096818203;24;0;600;4,19789E-14
0,096927064;24;0;600;4,19789E-14
0,097;24;0;600;4,19789E-14
0,097087145;24;0;600;4,19789E-14
0,09717429;24;0;600;4,19789E-14
0,09731115;24;0;600;4,19789E-14
0,097449148;24;0;600;4,19789E-14
0,097523933;24;0;600;4,19789E-14
0,097598718;24;0;600;4,19789E-14
0,097700029;24;0;600;4,19789E-14
0,097806948;24;0;600;4,19789E-14
0,09790669;24;0;600;4,19789E-14
0,098;24;0;600;4,19789E-14
0,098090074;24;0;600;4,19789E-14
0,098187314;24;0;600;4,19789E-14
0,098293572;24;0;600;4,19789E-14
0,098406481;24;0;600;4,19789E-14
0,098511245;24;0;600;4,19789E-14
0,098616009;24;0;600;4,19789E-14
0,098704944;24;0;600;4,19789E-14
0,098794945;24;0;600;4,19789E-14
0,098895334;24;0;600;4,19789E-14
0,099;24;0;600;4,19789E-14
0,099127806;24;0;600;4,19789E-14
0,0992037;24;0;600;4,19789E-14
0,099279595;24;0;600;4,19789E-14
0,09937716;24;0;600;4,19789E-14
0,099499263;24;0;600;4,19789E-14
0,09958333;24;0;600;4,19789E-14
0,099667396;24;0;600;4,19789E-14
0,099767336;24;0;600;4,19789E-14
0,099881588;24;0;600;4,19789E-14
0,1;24;0;600;4,19789E-14
